gid;objectid_1;kdprov;kdkab;kdkec;kddesa;rw_dki;nmprov;nmkab;nmkec;nmdesa;klaswil;urutno;nmsls;idsls;wil_campur;tgl_sinkro;shape_leng;shape_area;luas;periode;sumber;kdsls;area;dusun
"691738";"264161";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"032";RT 032 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160032";"0";2019/09/05 00:00:00.000;"0.012261663793694";"3.147847471e-06";;2019_1;BPS;"0032";"39330.5075186366";banjaran cengklik
"691739";"264162";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"033";RT 033 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160033";"0";2019/09/05 00:00:00.000;"0.010763540477776";"3.228887474e-06";;2019_1;BPS;"0033";"40342.9729942578";banjaran cengklik
"691740";"264163";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"035";RT 035 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160035";"0";2019/09/05 00:00:00.000;"0.011247121365164";"5.155781298e-06";;2019_1;BPS;"0035";"64418.2255577513";banjaran cengklik
"691741";"264164";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"034";RT 034 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160034";"0";2019/09/05 00:00:00.000;"0.009049153345711";"3.465665655e-06";;2019_1;BPS;"0034";"43301.302315954";banjaran cengklik
"691764";"264187";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"004";RT 004 RW 01 DUSUN KRAJAN I;"33220400160004";"0";2019/09/05 00:00:00.000;"0.011676352312595";"8.176089042e-06";;2019_1;BPS;"0004";"102153.519113664";krajan 1
"691742";"264165";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"041";RT 041 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160041";"0";2019/09/05 00:00:00.000;"0.012515937898016";"5.734419354e-06";;2019_1;BPS;"0041";"71647.7643793744";banjaran cengklik
"691743";"264166";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"039";RT 039 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160039";"0";2019/09/05 00:00:00.000;"0.008453560497768";"3.498825675e-06";;2019_1;BPS;"0039";"43715.2860763214";banjaran cengklik
"691745";"264168";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"037";RT 037 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160037";"0";2019/09/05 00:00:00.000;"0.006024385312126";"1.145226631e-06";;2019_1;BPS;"0037";"14308.8054629067";banjaran cengklik
"691746";"264169";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"0";"038";RT 038 RW 07 DUSUN BANJARAN CENGKLIK;"33220400160038";"0";2019/09/05 00:00:00.000;"0.006698886173537";"1.97234715e-06";;2019_1;BPS;"0038";"24643.1184287975";banjaran cengklik
"691747";"264170";"33";"22";"040";"016";;JAWA TENGAH;SEMARANG;SURUH;CUKILAN;"1";"004";"BLOK 014 P , SAWAH";"33220400161004";"0";2019/09/05 00:00:00.000;"0.043455240477325";"5.4153593075e-05";;2019_1;BPS;"1004";"676602.691375342";sawah
